PLOT_YEAR,YEAR,GENOTYPE,PLOT,NTREATMENT,SUBPOPULATION,E,A,Ci,gsw,KERNELDRYWT_PERPLANT,DAYSTOSILK,AVGFLAGHT_CM
7230_2023,2023,PHRE1,7230,L,SS-B37,0.002025173,17.36207346,216.1777381,0.110410668,42.91,66,104
7067_2023,2023,PHT11,7067,L,SS-B37,0.001708463,21.10064569,68.07472645,0.084884298,17.13,81,182
7543_2023,2023,PHT11,7543,H,SS-B37,0.002498613,16.10412939,256.7208119,0.105724529,86.01,88,193
7174_2023,2023,PHTE4,7174,L,SS-B37,0.001000518,15.62553377,48.14720388,0.044727322,36.86,71,128
7515_2023,2023,PHTE4,7515,H,SS-B37,0.001925631,19.5265077,166.384497,0.103834868,43.89,76,147
7213_2023,2023,PHVA9,7213,L,SS-B37,0.002289026,12.12474094,322.9834179,0.115811281,18.16,77,150
7403_2023,2023,PHVA9,7403,H,SS-B37,0.00289801,25.28157718,210.0200607,0.17090721,44.88,74,144
7222_2023,2023,PHW03,7222,L,Mixed,0.001573035,14.76713884,185.8794546,0.083089446,27.55,75,152
7556_2023,2023,PHW03,7556,H,Mixed,0.001772702,18.18864635,203.5298965,0.096382173,49.89,87,163
7542_2023,2023,PHW17,7542,H,SS-B73,0.00292228,17.20009885,313.5124977,0.12197575,48.95,81,168
7127_2023,2023,PHW17,7127,L,SS-B73,0.002014977,21.80508842,133.739941,0.106795363,56.26,85,162
7038_2023,2023,PHZ51,7038,L,Mixed,0.002430315,15.18670467,278.5273926,0.125748785,26.16,79,139
7176_2023,2023,PHN11,7176,L,IDT,0.003037753,23.14834938,240.3685203,0.164677122,54.37,70,108
7522_2023,2023,R134,7522,H,Broad origin-public ,0.001866216,14.9046043,217.1478949,0.090343169,53.88,93,187
7248_2023,2023,R134,7248,L,Broad origin-public ,0.001949165,10.53388563,245.8387942,0.082256544,79.55,86,169
7081_2023,2023,R168,7081,L,Broad origin-public ,0.001800854,15.87655352,199.5772084,0.091280502,27.55,76,129
7257_2023,2023,R181B,7257,L,Broad origin-public ,0.002642826,17.45238298,249.1211141,0.152270734,44.29,80,147
7525_2023,2023,R181B,7525,H,Broad origin-public ,0.003028016,22.73062876,238.260889,0.161983456,54.14,83,148
7020_2023,2023,SD42,7020,L,Broad origin-public ,0.001661154,13.61078617,205.1621204,0.083747584,33.22,82,125
7463_2023,2023,SD42,7463,H,Broad origin-public ,0.003584772,30.81114485,191.403399,0.193740943,51.21,84,135
7005_2023,2023,Va26,7005,L,NSS-Oh43,0.002078575,8.789996052,337.3394286,0.103249594,30.17,79,156
7535_2023,2023,Va26,7535,H,NSS-Oh43,0.001296949,10.15651958,229.7716815,0.063638904,41.65,83,153
7087_2023,2023,Va85,7087,L,Mixed,0.0024697,25.06865805,156.3372391,0.135118061,63.75,89,146
7104_2023,2023,Va99,7104,L,Mixed,0.002094398,11.95717653,280.1166694,0.105059844,44.12,87,132
7225_2023,2023,W117HT,7225,L,Broad origin-public ,0.002694967,15.63424232,285.7270008,0.121737458,13.38,68,66
7552_2023,2023,PHZ51,7552,H,Mixed,0.003723446,23.50708853,240.5916353,0.151834145,50.22,89,152
7559_2023,2023,W117HT,7559,H,Broad origin-public ,0.002857961,21.25911454,367.8522457,0.186228291,36.12,76,106
7400_2023,2023,W601S,7400,H,NSS-Mo17,0.002344921,23.02147829,167.387409,0.127658189,17.69,77,112
7078_2023,2023,W601S,7078,L,NSS-Mo17,0.000651444,5.453931235,303.6424818,0.029548694,28.12,85,123
7052_2023,2023,W604S,7052,L,NSS-Mo17,0.001972947,14.32439177,248.1118382,0.10176708,29.93,74,128
7572_2023,2023,W604S,7572,H,NSS-Mo17,0.002007109,12.39497529,293.2994852,0.086510088,50.37,76,122
7434_2023,2023,W802G,7434,H,Mixed,0.002299187,20.01246016,90.38646977,0.088659841,8.16,74,81
7063_2023,2023,W802G,7063,L,Mixed,0.002519083,22.07388407,193.9214415,0.127856456,8.48,71,79
7177_2023,2023,WU-TAN-TZAO,7177,L,Mixed,0.002047915,22.67800672,96.52253363,0.103462359,31.77,82,146
7409_2023,2023,WU-TAN-TZAO,7409,H,Mixed,0.002036144,20.3222485,160.4441079,0.103135702,41.57,83,148
7390_2023,2023,R168,7390,H,Broad origin-public ,0.001709824,20.453929,81.2639358,0.083524428,28.96,83,142
7436_2023,2023,W32,7436,H,Broad origin-public ,0.001379928,16.46764694,52.43813357,0.063549468,27.97,89,138
7337_2023,2023,ZS01250,7337,H,Mixed,0.00329142,22.75322852,256.5224596,0.189633418,38.35,67,100
